name,state_abbr,degree_type,cash_monitoring,pred_degree_type,highest_degree,type_school,ST_FIPS,REGION,LOCALE,hbcu,pbi,annhi,tribal,AANAPII,his,nanti,men_only,women_only,admission_rate,sat_avg,distance_only,netprice_lowincome,tuit_fte,inexp_fte,avg_fac_salary,pct_ft_fac,pct_pell,C150_POOLED,age_entry,first_gen,med_fam_inc,pct_grad_degree,pct_domestic,median_hh_income,poverty_rate,unemployment_rate
Neighborhood Playhouse School of the Theater,NY,1,0,1,1,2,36,2,11,0,0,0,0,0,0,0,0,0,0.6,NULL,0,19580,19760,22915,NULL,NULL,0.1364,0.8214,24.94285714,PrivacySuppressed,16640,16.5,82.25,77123.49,6.199999809,3
The New School,NY,3,0,3,4,2,36,2,11,0,0,0,0,0,0,0,0,0,0.662953795,NULL,0,27990,29905,15159,12262,0.1782,0.1649,0.6951,21.74007744,0.194401244,42578.5,16.06999969,79.05999756,75464.08,8.979999542,3.670000076
The New School Center for Media,NY,1,0,1,1,3,36,2,11,0,0,0,0,0,0,0,0,0,NULL,NULL,0,5951,13330,12553,NULL,NULL,0.8214,0.8,26.55882353,0.464285714,13147.5,NULL,NULL,NULL,NULL,NULL
Northeast College of Health Sciences,NY,3,0,4,4,2,36,2,32,0,0,0,0,0,0,0,0,0,NULL,NULL,0,NULL,27496,13008,5894,0.5068,NULL,NULL,NULL,NULL,NULL,9.510000229,89.41000366,62562.6,8.199999809,3.50999999
New York Law School,NY,3,0,4,4,2,36,2,11,0,0,0,0,0,0,0,0,0,NULL,NULL,0,NULL,27037,25788,14649,0.2981,NULL,NULL,26.3125,PrivacySuppressed,1207,14.25,74.25,70967.77,9.739999771,3.75999999
New York Medical College,NY,3,0,4,4,2,36,2,21,0,0,0,0,0,0,0,0,0,NULL,NULL,0,NULL,43138,22375,8833,1,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,14.43000031,76.66999817,80817.93,6.679999828,3.039999962
New York School for Medical and Dental Assistants,NY,1,0,1,2,3,36,2,11,0,0,0,0,0,0,0,0,0,NULL,NULL,0,14717,12488,2890,3833,0.087,0.8995,0.7491,25.39668175,0.686746988,13930,7.619999886,53.68000031,50891.61,18.39999962,5.820000172
New York Theological Seminary,NY,3,0,4,4,2,36,2,11,0,0,0,0,0,0,0,0,0,NULL,NULL,0,NULL,12068,12827,5522,0.9643,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
New York University,NY,3,0,3,4,2,36,2,11,0,0,0,0,0,0,0,0,0,0.129610436,1507,0,23852,40112,33470,16088,0.9946,0.1838,0.8732,20.59637046,0.214884345,51965.5,15.44999981,78.72000122,82106.43,7.400000095,3.289999962
Niagara County Community College,NY,2,0,2,2,1,36,2,41,0,0,0,0,0,0,0,0,0,NULL,NULL,0,3909,3597,9403,8697,1,0.3419,0.3315,22.7051114,0.385661765,31995.5,7.800000191,95.06999969,55232.43,8.199999809,4
Niagara University,NY,3,0,3,4,2,36,2,21,0,0,0,0,0,0,0,0,0,0.92199559,1160,0,13546,14372,8331,9238,1,0.2799,0.7386,20.5917603,0.241515391,65545,9.520000458,94.18000031,60954.17,6.960000038,3.710000038
Empire Beauty School-Peekskill,NY,1,0,1,1,3,36,2,21,0,0,0,0,0,0,0,0,0,NULL,NULL,0,15347,10043,8229,NULL,NULL,0.4648,0.7,27.01351351,0.388888889,14413.5,12.72999954,82.22000122,80197.02,6.71999979,3.279999971
North Country Community College,NY,2,0,2,2,1,36,2,33,0,0,0,0,0,0,0,0,0,NULL,NULL,0,11566,2473,4706,6140,0.9808,0.334,0.3098,24.91278375,0.468992248,23595,6.820000172,94.52999878,46890.93,9.729999542,4.260000229
New York College of Podiatric Medicine,NY,3,0,4,4,2,36,2,11,0,0,0,0,0,0,0,0,0,NULL,NULL,0,NULL,29194,14438,9329,0.9118,NULL,NULL,NULL,NULL,NULL,10.55000019,73.95999908,61703.78,12.68000031,4.21999979
New York Institute of Technology,NY,3,0,3,4,2,36,2,21,0,0,0,0,1,0,0,0,0,0.80351514,1218,0,18973,34644,18846,12613,0.3191,0.3925,0.5291,20.98318241,0.329654158,39414,10.35999966,78.23000336,72244.37,8.800000191,3.609999895
New York School of Interior Design,NY,3,0,1,4,2,36,2,11,0,0,0,0,0,0,0,0,0,0.539267016,NULL,0,37709,37238,20453,NULL,0.0354,0.1272,0.6667,26.5,0.363636364,31419,15.40999985,75.02999878,74931.9,9.829999924,3.730000019
Alliance University,NY,3,0,3,4,2,36,2,11,0,0,0,0,0,1,0,0,0,0.996478873,989,0,20972,10358,8249,6786,0.3367,0.3727,0.4153,25.84439359,0.37394958,25675.5,9.590000153,73.97000122,61585.03,13.5,4.849999905
