name,state,state_code,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,total_enrollment,rank,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,degree_type,pred_degree_type,highest_degree,type_school,ST_FIPS,region,locale,hbcu,pbi,annhi,AANAPII,his,nanti,men_only,women_only,admission_rate,sat_avg,distance_only,netprice_lowincome,tuit_fte,inexp_fte,avg_fac_salary,pct_ft_fac,pct_pell,C150_POOLED,age_entry,first_gen,med_fam_inc,pct_grad_degree,pct_domestic,median_hh_income,poverty_rate,unemployment_rate,Women,American Indian / Alaska Native,Asian,Black,Hispanic,Native Hawaiian / Pacific Islander,White,Two Or More Races,Unknown,Non-Resident Foreign,Total Minority
Austin Peay State University,Tennessee,TN,4 Year,10700,8411,19111,24467,35167,10111,20,44200,78200,0.63,0.1,3,3,4,1,47,5,12,0,0,0,0,0,0,0,0,0.934296458,1085,0,12439,6097,8701,8244,1,0.4677,0.4521,23.3785389,0.395009936,31930,0.05519999981,0.9330000305,52472.51,8.930000305,0.03529999971,0.6042923548610424,0.003956087429532192,0.015527643160913856,0.18811195727425575,0.05686875679952527,0.0018791415290277916,0.6564138067451291,0.050835723469488676,0.02215408960538028,43,3207
Avila University,Missouri,MO,4 Year,7200,19900,27100,19900,27100,1907,17,45900,81200,0.68,0.03,3,3,4,2,29,4,11,0,0,0,0,0,0,0,0,0.680038666,1050,0,15525,12935,7972,6562,0.3467,0.4745,0.4532,23.66621067,0.36746988,38722,0.09770000458,0.9444999695,67638.05,5.940000057,0.02849999905,0.6528578919769271,0.007341373885684321,0.016255899318300997,0.1882538017829051,0.06554798112218144,0.0026219192448872575,0.5946512847404299,0.022548505506030415,0,196,577
Babson College,Massachusetts,MA,4 Year,16312,51104,67416,51104,67416,3049,4,72000,133800,0.37,0,3,3,4,2,25,1,21,0,0,0,0,0,0,0,0,0.253519144,1412,0,17755,35329,14548,17413,1,0.1449,0.9417,19.44071146,0.148760331,91204,0.16280000690000002,0.8281999969,82978.89,6.510000229,0.02930000067,0.4280091833387996,0.0013119055428009183,0.0898655296818629,0.03902918989832732,0.08002623811085602,6.559527714004591e-4,0.39160380452607413,0.019022630370613317,0.0787143325680551,914,701
Baker University,Kansas,KS,4 Year,8410,29830,38240,29830,38240,2957,10,47800,84200,0.55,0.02,3,3,4,2,20,4,31,0,0,0,0,0,0,0,0,0.990580848,1064,0,19788,12980,6641,6603,0.2136,0.2794,0.6207,25.49371859,0.362892224,55117,0.1,0.9493000031,67758.92,5.420000076,0.0250999999,0.5847142374027731,0.01826175177544809,0.014541765302671627,0.0950287453500169,0.04971254649983091,0.0037199864727764627,0.7419682110246871,0.013189042948934731,0.05546161650321271,24,575
Ball State University,Indiana,IN,4 Year,10234,9896,20130,26468,36702,20655,22,45600,83700,0.48,0.07,3,3,4,1,18,3,13,0,0,0,0,0,0,0,0,0.681657733,1124,0,8598,8436,10275,7884,0.8141,0.3395,0.6736,20.6299529,0.277217595,61975,0.07929999827999999,0.9675,62817.43,5.760000229,0.02930000067,0.6070200919874122,0.0012587751149842653,0.010409101912369887,0.06671508109416606,0.03350278382958122,0.0011619462599854757,0.7875574921326556,0.01989832970225127,0.0411038489469862,793,2746
Baptist College of Health Sciences,Tennessee,TN,4 Year,2900,14700,17600,14700,17600,1170,5,55700,95700,0.9,0.04,3,3,4,2,47,5,11,0,1,0,0,0,0,0,0,0.349173554,1120,0,3019,15305,10572,6856,1,0.5086,0.5115,26.65476191,0.428571429,25075.5,0.06860000134,0.965,61604.19,9.960000038,0.03410000086,0.911965811965812,0,0.018803418803418803,0.4247863247863248,0.019658119658119658,0,0.5162393162393163,0.002564102564102564,0.017948717948717947,0,545
Barnard College,New York,NY,4 Year,17225,55032,72257,55032,72257,2573,19,59200,109800,0.57,0.19,3,3,3,2,36,2,11,0,0,0,0,0,0,0,1,0.114670515,1484,0,15480,41834,25557,14249,0.73,0.1509,0.9143,19.256,0.15565032,66094,0.1655999947,0.7738999939,75897.42,8.739999771,0.03660000086,0.998056743101438,3.88651379712398e-4,0.14263505635445006,0.06529343179168286,0.11115429459774583,3.88651379712398e-4,0.5476097940147687,0.051690633501748934,0.006218422075398368,192,956
Barton College,North Carolina,NC,4 Year,10120,30880,41000,30880,41000,1035,24,42400,77900,0.62,0.06,3,3,4,2,37,5,31,0,0,0,0,0,0,0,0,0.985995851,1054,0,18741,12967,7453,6036,0.9545,0.3955,0.5186,23.25950413,0.35009311,38256,0.060999999049999996,0.9358000183,54814.93,10.57999992,0.03650000095,0.6917874396135266,0.008695652173913044,0.011594202898550725,0.23671497584541062,0.05314009661835749,0,0.5835748792270531,0.02705314009661836,0.050241545893719805,30,349
Baylor University,Texas,TX,4 Year,12595,45727,58322,45727,58322,16263,12,55500,101400,0.49,0.16,3,3,4,2,48,6,12,0,0,0,0,0,0,0,0,0.566879851,1288,0,28238,26524,17162,10673,0.651,0.1647,0.8044,20.0373643,0.17109067,80000,0.10050000190000001,0.8818000031,73627.32,7.4600000380000004,0.03119999886,0.5627498001598721,0.003812334747586546,0.057738424644899464,0.06942138596814856,0.13195597368259238,5.534034311012728e-4,0.6422554264280883,0.04298099981553219,0.0092233905183545465,684,4984
Belhaven University,Mississippi,MS,4 Year,8500,25300,33800,25300,33800,4114,7,41200,74300,0.6,0.02,3,3,4,2,28,5,12,0,1,0,0,0,0,0,0,0.640179071,1106,0,20041,9298,2942,5522,0.1408,0.5195,0.4991,30.5905421,0.395118734,26444,0.08470000267,0.9398000336,57705.44,11.52000046,0.037799999710000004,0.6842489061740399,0.005590666018473505,0.004861448711716091,0.5476421973748177,0.03500243072435586,0.001701507049100632,0.2807486631016043,0.014827418570734078,0.08896451142440447,85,2508
Bellarmine University,Kentucky,KY,4 Year,12250,42200,54450,42200,54450,3609,3,49000,90700,0.54,0.11,3,3,4,2,21,5,11,0,0,0,0,0,0,0,0,0.855014191,1191,0,20269,17342,9816,7890,0.4522,0.2358,0.6477,20.67274234,0.272648084,68249,0.1002999973,0.9559999847,65601.28,6.3699998860000004,0.02670000076,0.6733167082294265,0.0024937655860349127,0.01801052923247437,0.0543086727625381,0.02798559157661402,0.0013854253255749516,0.8212801330008312,0.02687725131615406,0.034358548074258796,48,473
Bellin College,Wisconsin,WI,4 Year,10480,22178,22178,22178,22178,351,6,55800,97600,0.94,0,3,3,4,2,55,3,41,0,0,0,0,0,0,0,0,0.852941176,1105,0,20561,15976,9815,7793,0.8205,0.1656,0.6154,25.154205610000002,0.310344828,83875.5,0.051999998090000006,0.9725,63205.5,4.440000057,0.02839999914,0.9259259259259259,0.008547008547008548,0.008547008547008548,0.002849002849002849,0.014245014245014245,0.002849002849002849,0.9515669515669516,0.002849002849002849,0.008547008547008548,0,14
Belmont Abbey College,North Carolina,NC,4 Year,10355,18500,28855,18500,28855,1560,14,46700,82900,0.49,0.07,3,3,3,2,37,5,22,0,0,0,0,0,0,0,0,0.989136339,1107,0,16763,10232,6115,5741,0.619,0.2768,0.4591,23.72396487,0.273698264,56211,0.07130000114,0.9330000305,63374.1,7.170000076,0.03430000067,0.5705128205128205,0.002564102564102564,0.009615384615384616,0.25064102564102564,0.014743589743589743,0,0.4044871794871795,0.003205128205128205,0.30128205128205127,21,438
Belmont University,Tennessee,TN,4 Year,12120,34310,46430,34310,46430,7244,17,47300,80900,0.47,0.03,3,3,4,2,47,5,11,0,0,0,0,0,0,0,0,0.880798835,1272,0,21118,25706,10072,9703,0.5549,0.1654,0.6959,20.4765343,0.158458244,87507,0.1059000015,0.9393000031,70368.62,6.179999828,0.027599999899999998,0.6181667586968526,0.0022087244616234127,0.021673108779679734,0.043898398674765325,0.041413583655438985,9.66316951960243e-4,0.7915516289342904,0.03188845941468802,0.05383765875207068,91,1029
Beloit College,Wisconsin,WI,4 Year,8830,50040,58870,50040,58870,1303,17,47400,85700,0.59,0.24,3,3,3,2,55,3,13,0,0,0,0,0,0,0,0,0.672766087,1273,0,13212,12776,11192,7152,0.8304,0.2791,0.7525,19.72781065,0.193018481,69784,0.13819999689999998,0.9009999847,74481.76,5.5,0.030999999049999998,0.5809669992325402,0.003837298541826554,0.024558710667689946,0.04604758250191865,0.08365310821181889,0.0023023791250959325,0.6976208749040675,0.01688411358403684,0.02532617037605526,130,231
Benedictine College,Kansas,KS,4 Year,10300,29530,39830,29530,39830,2138,3,48700,91800,0.69,0.13,3,3,4,2,20,4,32,0,0,0,0,0,0,0,0,0.984970674,1243,0,23319,13243,7834,6240,0.584,0.1667,0.6388,19.74651458,0.149606299,95543,0.09539999962,0.9423999786,64485.18,6.650000095,0.02960000038,0.5257249766136576,0.0037418147801683817,0.01216089803554724,0.03274087932647334,0.052385406922357346,0.003274087932647334,0.7904583723105706,0.04443405051449953,0.028999064546304958,68,318
Bentley University,Massachusetts,MA,4 Year,16320,49880,66200,49880,66200,5565,9,66600,116600,0.36,0.07,3,3,4,2,25,1,13,0,0,0,0,0,0,0,0,0.609386747,1335,0,23076,31450,14145,15113,0.6157,0.1377,0.888,19.81118314,0.155536771,106565.5,0.1460000038,0.8798000336,82419.5,5.03000021,0.02569999933,0.42857142857142855,7.187780772686433e-4,0.07780772686433064,0.026774483378256962,0.05840071877807727,0,0.5638814016172506,0.018328840970350403,0.041868823000898475,1181,1013
Berea College,Kentucky,KY,4 Year,6764,39990,46754,39990,46754,1621,19,39500,71600,0.53,0.27,3,3,3,2,21,5,32,0,0,0,0,0,0,0,0,0.330069124,1229,0,2900,1340,19832,8250,0.868,0.8869,0.6643,19.81420118,0.405777166,22742,0.0628000021,0.9698000336,47532.74,12.22999954,0.03519999981,0.5607649599012955,0.0012338062924120913,0.016039481801357187,0.14929056138186306,0.05860579888957434,0.001850709438618137,0.6230721776681061,0.054287476866132015,0.01850709438618137,125,456
Berry College,Georgia,GA,4 Year,12770,36556,49326,36556,49326,2177,12,44900,84900,0.44,0.21,3,3,4,2,13,5,23,0,0,0,0,0,0,0,0,0.698990284,1267,0,16157,13225,14532,8767,0.7793,0.2258,0.714,19.65384615,0.168741356,82687.5,0.08600000380999999,0.9227999877999999,70464.52,6.550000191,0.02710000038,0.6132292145153881,9.186954524575103e-4,0.011943040881947635,0.04271933853927423,0.061552595314653194,0.0013780431786862655,0.8295819935691319,0.02847955902618282,0.014699127239320165,19,320
Birmingham-Southern College,Alabama,AL,4 Year,12350,17650,30000,17650,30000,1185,7,49100,88300,0.48,0.27,3,3,3,2,1,5,12,0,0,0,0,0,0,0,0,0.659081674,1214,0,17414,10137,11867,7636,0.8295,0.2152,0.7033,19.64479638,0.172494173,68094.5,0.1167000008,0.9569000244,64789.39,7.909999847,0.02839999914,0.4641350210970464,0.010126582278481013,0.05232067510548523,0.10970464135021098,0.019409282700421943,0,0.7983122362869198,0.005063291139240506,0.005063291139240506,0,233
Black Hills State University,South Dakota,SD,4 Year,6978,8733,15711,11778,18756,4489,10,40400,72600,0.51,0.11,3,3,4,1,46,4,32,0,0,0,0,0,0,0,0,0.972503618,1065,0,12664,6535,6211,7283,0.5764,0.2218,0.4092,22.82917466,0.283967391,51046,0.061900000569999995,0.9733999634,49477.45,9.3299999239999991,0.03559999943,0.649587881488082,0.034306081532635334,0.004900868790376476,0.00913343729115616,0.0369792826910225,0.0022276676319893073,0.8235687235464468,0.031855647137447096,0.04076631766540432,73,536
Bloomfield College,New Jersey,NJ,4 Year,11950,29550,41500,29550,41500,2004,23,48400,89100,0.55,0.17,3,3,4,2,34,2,21,0,1,0,0,1,0,0,0,0.840336134,941,0,20964,16901,8946,9645,1,0.7032,0.3554,21.68601799,0.508421053,26423,0.0796999979,0.7336000061,62332.64,12.64000034,0.05590000153,0.6377245508982036,0.005988023952095809,0.027944111776447105,0.5209580838323353,0.24151696606786427,0.003992015968063872,0.10778443113772455,0.0054890219560878245,0.05139720558882235,70,1615
Bluefield State College,West Virginia,WV,4 Year,10480,8820,8820,16920,16920,1563,15,43200,72800,0.6,0.03,3,3,3,1,54,5,32,1,0,0,0,0,0,0,0,0.968596663,1020,0,8963,4784,6698,6561,0.5806,0.4755,0.3207,24.33858268,0.492492493,26625,0.04739999771,0.9888999939,36594.82,16.11000061,0.043000001909999995,0.619321817018554,0.0025591810620601407,0.0019193857965451055,0.09980806142034548,0.010876519513755598,0,0.8438899552143314,0.010876519513755598,0.008317338451695458,34,197
Boston College,Massachusetts,MA,4 Year,14478,55464,69942,55464,69942,14317,11,63600,115400,0.43,0.13,3,3,4,2,25,1,13,0,0,0,0,0,0,0,0,0.190408071,1485,0,13685,38133,23682,15909,0.5858,0.1299,0.9124,19.46906475,0.131895687,103007,0.16159999849999998,0.8473999786,83893.95,5.929999828,0.02880000114,0.5453656492281903,0.001047705524900468,0.07990500803240902,0.040162045121184604,0.08647062932178529,6.984703499336453e-5,0.5796605434099322,0.0261926381225117,0.08863588740657959,1401,3348
Boston University,Massachusetts,MA,4 Year,15720,53948,69668,53948,69668,32112,13,61400,113600,0.43,0.25,3,3,4,2,25,1,11,0,0,0,0,0,0,0,0,0.186452532,1447,0,10624,33819,30056,15151,0.6957,0.1728,0.8918,19.95540186,0.169382716,81244,0.1552999973,0.8429000092,83140.68,5.769999981,0.029000000950000004,0.5843609865470852,8.408071748878924e-4,0.1073741903338316,0.03705779770802192,0.0753300946686597,0.0010587942202291978,0.4559666168410563,0.027030393622321874,0.09566517189835576,6412,7986
Bowie State University,Maryland,MD,4 Year,10904,8233,19137,18873,29777,5695,18,50300,89900,0.65,0.11,3,3,4,1,24,2,21,1,0,0,0,0,0,0,0,0.870429892,932,0,11398,5121,8316,9021,0.5302,0.4542,0.425,22.43754619,0.355200691,36428.5,0.11130000109999999,0.8759999847000001,77046.6,6.909999847,0.03809999943,0.6291483757682177,0.0010535557506584723,0.014223002633889377,0.8342405618964004,0.025812115891132574,0.0015803336259877085,0.03529411764705882,0.029499561018437225,0.017208077260755048,234,5162
Bradley University,Illinois,IL,4 Year,10620,33760,44380,33760,44380,5300,6,55600,104900,0.46,0.38,3,3,4,2,17,3,12,0,0,0,0,0,0,0,0,0.758630923,1205,0,17609,17848,13730,9123,0.5695,0.2779,0.7563,20.05574713,0.236043689,79479,0.09699999809,0.9215000152999999,74072.54,5.179999828,0.02960000038,0.5043396226415094,0.0018867924528301887,0.027169811320754716,0.04622641509433962,0.05320754716981132,9.433962264150943e-4,0.6616981132075471,0.013018867924528301,0.12283018867924528,387,755
Brandeis University,Massachusetts,MA,4 Year,15440,55395,70835,55395,70835,5945,14,60600,113200,0.48,0.29,3,3,4,2,25,1,13,0,0,0,0,0,0,0,0,0.391384238,1455,0,12039,23886,18090,13827,0.7112,0.1572,0.8841,19.48419865,0.163069544,72611.5,0.18219999309999999,0.8341999817,85221.28,5.699999809,0.03,0.5429772918418839,0.001009251471825063,0.09789739276703112,0.04625735912531539,0.054331370899915896,5.046257359125315e-4,0.4445752733389403,0.01984861227922624,0.10277544154751893,1384,1307
Brescia University,Kentucky,KY,4 Year,9200,22400,31600,22400,31600,1056,10,44300,81200,0.53,0.07,3,3,4,2,21,5,13,0,0,0,0,0,0,0,0,0.53125,1094,0,12180,9975,7277,5703,0.4455,0.0784,0.4231,27.42367067,0.45210728,34373,0.05980000019,0.9783999634,50402.08,10.21000004,0.03589999914,0.7301136363636364,0.008522727272727272,0.002840909090909091,0.1259469696969697,0.05965909090909091,0.001893939393939394,0.6666666666666666,0,0.125,10,210
Brigham Young University,Utah,UT,4 Year,7628,5620,13248,5620,13248,30484,1,59200,108000,0.6,0.25,3,3,4,2,49,7,12,0,0,0,0,0,0,0,0,0.591833218,1342,0,9576,5405,14980,12004,0.7137,0.3232,0.762,21.39929915,0.137956889,46790,0.10010000229999999,0.9080999756,64914.81,8.039999962,0.03349999905,0.44876000524865506,0.0036740585225036085,0.01945282771289857,0.005150242750295237,0.05527489830730875,0.005839128723264663,0.8269256003149194,0.0337554126755019,0.011743865634431177,1164,3754
Brown University,Rhode Island,RI,4 Year,14670,55656,70326,55656,70326,9181,1,68200,127600,0.45,0.43,3,3,4,2,44,1,12,0,0,0,0,0,0,0,0,0.055145164000000003,1517,0,5472,37869,35485,16186,0.8826,0.1375,0.9555,19.46391753,0.170403587,82670.5,0.1651000023,0.8390000153,79027.35,7.269999981,0.03279999971,0.5099662346149657,0.0028319355190066444,0.11970373597647316,0.05990632828667901,0.09737501361507461,0.0014159677595033222,0.42326543949460843,0.04095414442871147,0.086918636314127,1539,2958
Bryant University,Rhode Island,RI,4 Year,15702,43973,59675,43973,59675,3462,2,60500,108600,0.37,0.08,3,3,4,2,44,1,21,0,0,0,0,0,0,0,0,0.73614889,1222,0,35914,27448,11485,14195,0.5719,0.1064,0.8302,19.63412564,0.160667252,110617,0.1222000027,0.905,80219.8,4.679999828,0.02680000067,0.414789139225881,0.0034662045060658577,0.04072790294627383,0.041883304448295786,0.06239168110918544,0.0014442518775274408,0.7270363951473137,0.012709416522241479,0.02975158867706528,279,563
Bucknell University,Pennsylvania,PA,4 Year,13662,56092,69754,56092,69754,3624,5,66700,122900,0.4,0.4,3,3,4,2,42,2,32,0,0,0,0,0,0,0,0,0.345023528,1387,0,19789,38138,22588,11800,0.9634,0.1031,0.879,19.53587116,0.12006079,107136,0.1430000019,0.9004000092,84046.3,4.769999981,0.027200000289999998,0.5195916114790287,2.759381898454746e-4,0.0347682119205298,0.03145695364238411,0.05160044150110375,0,0.782560706401766,0.03421633554083885,0.003863134657836645,222,552
Butler University,Indiana,IN,4 Year,13830,41120,54950,41120,54950,4848,7,51800,99300,0.53,0.09,3,3,4,2,18,3,11,0,0,0,0,0,0,0,0,0.80547588,1278,0,27875,23346,13227,9053,1,0.1407,0.8308,19.71428571,0.129511677,109207,0.1002999973,0.9483999634,71968.39,4.820000172,0.02619999886,0.593440594059406,0.0016501650165016502,0.024546204620462045,0.037541254125412545,0.030115511551155116,0,0.8263201320132013,0.018770627062706272,0.03238448844884489,139,546
Calvin College,Michigan,MI,4 Year,10200,34600,44800,34600,44800,3993,13,50200,91100,0.54,0.23,3,3,4,2,26,3,12,0,0,0,0,0,0,0,0,0.750627195,1246,0,20650,16400,9976,8932,0.9907,0.1619,0.7635,19.83707398,0.13225256,82351,0.1015999985,0.9243000030999999,70660.49,5.46999979,0.02930000067,0.5537190082644629,0.004007012271475081,0.04332582018532432,0.023541197094916103,0.032306536438767845,0,0.7458051590282995,0.02779864763335838,0.016779363886801905,425,523
Campbell University,North Carolina,NC,4 Year,11430,32500,43930,32500,43930,6101,16,46300,82400,0.56,0.08,3,3,4,2,37,5,31,0,0,0,0,0,0,0,0,0.87252535,1124,0,17960,16048,11008,8805,0.4782,0.3347,0.5578,23.99616532,0.31120332,41354,0.07019999981,0.9298999786000001,56906.03,8.970000267,0.03640000105,0.52860186854614,0.006556302245533519,0.03163415833469923,0.15505654810686773,0.056220291755449923,0.0014751680052450418,0.6149811506310441,0.018357646287493853,0.09588592034092772,121,1643
Cardinal Stritch University,Wisconsin,WI,4 Year,8440,29998,38438,29998,38438,3811,20,47000,82500,0.51,0.02,3,3,4,2,55,3,21,0,0,0,0,0,0,0,0,0.889078498,1062,0,15575,15078,8756,6628,0.3448,0.2734,0.536,26.0034188,0.454901961,36000,0.07980000019,0.9458000183,64348.07,7.980000019,0.037400000100000004,0.6436630805562844,0.004723169771713461,0.019942272369456837,0.22093938598792967,0.07688270795066912,0.0020991865652059826,0.5911834164261349,0.018630280766203097,0.033849383363946474,121,1308
Carleton College,Minnesota,MN,4 Year,14085,54759,68844,54759,68844,2057,1,58800,109900,0.47,0.45,3,3,3,2,27,4,32,0,0,0,0,0,0,0,0,0.175489577,1482,0,15025,34062,34119,12570,0.8321,0.1418,0.9265,19.38329238,0.156812339,78779,0.1410000038,0.8884999847,71070.84,6.730000019,0.032300000190000004,0.5279533300923676,0.0014584346135148275,0.08945065629557608,0.038405444822557123,0.06319883325230918,9.722897423432182e-4,0.648031113271755,0.04521147301895965,0.01750121536217793,197,491
Carnegie Mellon University,Pennsylvania,PA,4 Year,14418,55465,69883,55465,69883,12587,1,75900,136100,0.45,0.66,3,3,4,2,42,2,11,0,0,0,0,0,0,0,0,0.135366002,1520,0,16526,43851,34891,12634,0.9233,0.1486,0.9311,19.34087238,0.099502488,91372,0.16,0.8508000183,81652.61,5.909999847,0.029800000190000002,0.3799157861285453,7.150234368793199e-4,0.16453483753078574,0.03193771351394296,0.04560260586319218,1.5889409708429332e-4,0.29768809088742354,0.026535314213076984,0.0498927464844681,4820,3392
Carroll College,Montana,MT,4 Year,9880,35486,45366,35486,45366,1440,3,48200,91400,0.55,0.25,3,3,4,2,30,7,33,0,0,0,0,0,0,0,0,0.839226151,1200,0,17068,15411,9218,6170,0.7023,0.1964,0.6734,20.35769231,0.197183099,82088.5,0.0868999958,0.9513999939,55326.09,8.090000153,0.03529999971,0.5826388888888889,0.0125,0.014583333333333334,0.007638888888888889,0.049305555555555554,0.002777777777777778,0.7868055555555555,0.01597222222222222,0.09444444444444444,23,148
Carroll University,Wisconsin,WI,4 Year,9484,31918,41402,31918,41402,3446,16,45600,86500,0.49,0.14,3,3,4,2,55,3,13,0,0,0,0,0,0,0,0,0.704976568,1202,0,19479,17001,7821,8138,0.4005,0.2242,0.6879,20.30880121,0.271565495,79870,0.07980000019,0.9462000275,73362.92,4.03000021,0.02710000038,0.654962275101567,5.803830528148578e-4,0.03366221706326175,0.010737086477074869,0.05513639001741149,8.705745792222867e-4,0.851131746952989,0.019733023795705164,0.012478235635519443,54,416
