"","name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total","total_enrollment","rank","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","matched","degree_type","cash_monitoring","pred_degree_type","highest_degree","type_school","ST_FIPS","region","locale","hbcu","pbi","annhi","tribal","AANAPII","his","nanti","men_only","women_only","admission_rate","sat_avg","distance_only","netprice_lowincome","tuit_fte","inexp_fte","avg_fac_salary","pct_ft_fac","pct_pell","C150_POOLED","age_entry","first_gen","med_fam_inc","pct_grad_degree","pct_domestic","median_hh_income","poverty_rate","unemployment_rate","Women","American Indian / Alaska Native","Asian","Black","Hispanic","Native Hawaiian / Pacific Islander","White","Two Or More Races","Unknown","Non-Resident Foreign","Total Minority"
"117","College of St. Scholastica","Minnesota","MN","Private",2,9710,37212,46922,37212,46922,3696,16,51200,86800,64,12,"The College of Saint Scholastica","3",0,"3",4,2,27,"4","13","0","0","0",1,"0","0","0","0","0",0.73694298,1205,1,20307,14698,8925,7101,0.5039,0.2656,0.6693,26.45558223,0.28496732,58385,6.739999771,0.28496732,60287.14,6,3.450000048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","University of Washington","Washington","WA","Public",2,12798,11517,24315,36898,49696,44784,2,61900,112300,51,34,"University of Washington-Seattle Campus","3",0,"3",4,1,53,"8","11","0","0","0",1,"1","0","0","0","0",0.570203258,1180,1,4786,19472,32369,13684,0.8011,0.1974,0.8297,22.52803864,0.327274533,39205,11.72999954,0.327274533,69752.4,6.570000172,3.619999886,23369,233,8702,1093,2917,160,21015,2407,1580,6677,15512
"119","John Brown University","Arkansas","AR","Private",2,9224,26928,36152,26928,36152,2850,5,47000,82700,53,9,"John Brown University","3",0,"3",4,2,5,"5","32","0","0","0",1,"0","0","0","0","0",0.528678304,1231,1,14676,10590,8546,7137,0.9483,0.2489,0.6761,24.15714286,0.288828338,52350.5,7.420000076,0.288828338,56884.69,8.050000191,2.920000076,1654,51,34,108,152,3,2181,103,110,108,451
"120","Warner Pacific University","Oregon","OR","Private",2,9630,18740,28370,18740,28370,3696,18,45500,80500,58,10,"Warner Pacific University","3",0,"3",4,2,41,"8","11","0","0","0",1,"1","1","0","0","0",0.756157635,1180,1,15364,17660,7620,5808,0.2529,0.5474,0.3615,28.62184874,0.46588694,35115,7.550000191,0.46588694,63798.34,7.050000191,4.059999943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","St. Mary's University","Texas","TX","Private",2,10270,30650,40920,30650,40920,3712,22,52900,95300,61,17,"St. Mary's University","3",0,"3",4,2,48,"6","11","0","0","0",1,"0","1","0","0","0",0.884552846,1180,1,15059,18923,11270,10182,0.6205,0.4198,0.5917,20.33366435,0.387238724,37985,7.550000191,0.387238724,56236.53,13.96000004,3.890000105,1962,23,95,142,2060,10,873,8,161,340,2338
"122","University of Washington Tacoma","Washington","WA","Public",2,11028,11361,22389,36742,47770,3696,12,56000,96800,50,23,"University of Washington-Tacoma Campus","3",0,"3",4,1,53,"8","12","0","0","0",1,"1","0","0","0","0",0.570203258,1180,1,5260,3974,6606,10778,0.7989,0.4176,0.5926,22.52803864,0.327274533,39205,11.72999954,0.327274533,69752.4,6.570000172,3.619999886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Saint Joseph's University","Pennsylvania","PA","Private",2,14840,44973,59813,44973,59813,3696,14,57300,105100,41,6,"Saint Joseph's University","3",0,"3",4,2,42,"2","11","0","0","0",1,"0","0","0","0","0",0.830890504,1229,1,21669,23089,9972,10724,1,0.1426,0.8197,21.08685969,0.175101803,108285,13.23999977,0.175101803,79940.44,5.809999943,3.140000105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Rhodes College","Tennessee","TN","Private",2,11403,47890,59293,47890,59293,2054,2,51900,97800,46,25,"Rhodes College","3",0,"3",4,2,47,"5","11","0","0","0",1,"0","0","0","0","0",0.568822866,1388,1,14758,15787,15138,8795,0.8489,0.1538,0.8363,19.37176938,0.127789047,108000,13.72999954,0.127789047,73395.81,7.130000114,2.859999895,1189,6,133,128,73,0,1547,62,46,59,402
"125","University of Holy Cross","Louisiana","LA","Private",2,10480,17300,17300,17300,17300,3696,13,48400,86300,69,3,"University of Holy Cross","3",0,"3",4,2,22,"5","11","0","0","0",1,"0","0","0","0","0",0.75,1000,1,14816,16537,10425,7604,0.5068,0.3814,0.3311,25.69565217,0.48988764,26489.5,6.809999943,0.48988764,52742.13,13.59000015,4.03000021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Lynn University","Florida","FL","Private",2,12170,38210,50380,38210,50380,3696,22,46100,85000,45,2,"Lynn University","3",0,"3",4,2,12,"5","13","0","0","0",1,"0","0","0","0","0",0.830136225,1121,1,33139,20446,6479,5915,0.4788,0.2554,0.545,21.29535232,0.270096463,41024,13.51000023,0.270096463,78627.36,6.309999943,2.849999905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Saint Anselm College","New Hampshire","NH","Private",2,14500,41200,55700,41200,55700,1968,2,56400,100300,59,11,"Saint Anselm College","3",0,"3",3,2,33,"1","22","0","0","0",1,"0","0","0","0","0",0.775892189,1234,1,24786,17619,12724,8765,0.7391,0.1129,0.805,19.58382878,0.130806846,123136,12.89999962,0.130806846,81185.61,4.320000172,2.420000076,1186,3,12,36,57,2,1570,34,242,12,144
"128","Queens University of Charlotte","North Carolina","NC","Private",2,10860,34684,45544,34684,45544,2248,9,49400,86600,48,9,"Queens University of Charlotte","3",0,"3",4,2,37,"5","11","0","0","0",1,"0","0","0","0","0",0.691978304,1159,1,24367,14768,8969,7925,0.4667,0.2677,0.6085,23.4031339,0.219033233,53591.5,9.18999958,0.219033233,69597.25,6.420000076,3.150000095,1580,9,54,385,120,1,1275,27,244,133,596
"129","Central College","Iowa","IA","Private",2,10280,37295,47575,37295,47575,1411,9,49000,88800,55,36,"Central College","3",0,"3",3,2,19,"4","32","0","0","0",1,"0","0","0","0","0",0.745231608,1121,1,16026,12373,12884,7543,0.8952,0.2545,0.6711,19.70415225,0.214801444,81191.5,6.380000114,0.214801444,59591.09,5.25,2.539999962,736,5,15,26,44,2,1244,14,43,18,106
"130","Regis University","Colorado","CO","Private",2,11560,36810,48370,36810,48370,9208,8,55500,94800,58,13,"Regis University","3",0,"3",4,2,8,"7","11","0","0","0",1,"0","1","0","0","0",0.813727135,1174,1,19500,17297,8320,7471,0.4244,0.224,0.6439,27.83465819,0.36,42833,11.05000019,0.36,74280.35,5.480000019,2.849999905,5834,57,428,521,1392,21,5654,234,793,108,2653
"131","Covenant College","Georgia","GA","Private",2,10260,34330,44590,34330,44590,1173,24,44400,79400,62,19,"Covenant College","3",0,"3",4,2,13,"5","41","0","0","0",1,"0","0","0","0","0",0.885390428,1222,1,18956,15371,9687,8202,0.9714,0.2023,0.7017,19.58461539,0.296914538213626,78999,8.380000114,0.296914538213626,63670.68,7.260000229,2.900000095,689,4,22,32,34,2,1000,23,26,30,117
"132","Salisbury University","Maryland","MD","Public",2,11950,9824,21774,19526,31476,8770,19,50400,89800,51,12,"Salisbury University","3",0,"3",4,1,24,"2","23","0","0","0",1,"0","0","0","0","0",0.86464699,1180,1,11781,6803,8481,8653,0.7089,0.2298,0.7045,21.12661083,0.291723666,69454,11.30000019,0.291723666,77177.93,5.230000019,2.75,5138,34,216,1091,345,10,6313,306,301,154,2002
"133","Unity College","Maine","ME","Private",2,10710,29160,39870,29160,39870,3696,15,38200,69500,52,23,"Unity College","3",0,"3",4,2,23,"1","41","0","0","0",1,"0","0","0","0","0",0.914226662,1180,1,15736,13742,3732,4828,0.0778,0.4577,0.5065,20.17672414,0.321100917,66806.5,9.670000076,0.321100917,64564.47,6.389999866,3.039999962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Central Washington University","Washington","WA","Public",2,11115,8072,19187,23053,34168,11799,14,52700,93200,47,13,"Central Washington University","3",0,"3",4,1,53,"8","32","0","0","0",1,"0","0","0","0","0",0.884461781,1180,1,12364,7032,9174,8941,0.6609,0.3273,0.5575,23.44291142,0.400404222,42459,8.140000343,0.400404222,63170.67,8.06000042,4.400000095,6147,65,532,365,1430,137,7327,710,1130,103,3239
"135","East Carolina University","North Carolina","NC","Public",2,9606,7188,16794,23465,33071,27511,11,48400,85400,55,11,"East Carolina University","3",0,"3",4,1,37,"5","13","0","0","0",1,"0","0","0","0","0",0.93889853,1180,1,11738,7138,11522,8593,0.7681,0.3189,0.655,21.91905232,0.264602804,51027,7.840000153,0.264602804,57608.05,9.399999619,3.369999886,16451,181,782,4359,1498,26,19058,788,567,252,7634
"136","Southern Nazarene University","Oklahoma","OK","Private",2,8496,25188,33684,25188,33684,2254,13,46100,81000,62,5,"Southern Nazarene University","3",0,"3",4,2,40,"6","21","0","0","0",1,"0","0","0","0","0",0.760658545,1180,1,16545,13170,9231,6127,0.3463,0.4426,0.4802,27.32079415,0.380471381,46277,7.880000114,0.380471381,57571.98,8.569999695,2.940000057,1176,93,55,318,134,8,1434,70,70,72,678
"137","University of South Carolina: Columbia","South Carolina","SC","Public",2,10480,12616,12616,33298,33298,3696,6,50300,89900,52,20,"University of South Carolina-Columbia","3",0,"3",4,1,45,"5","12","0","0","0",1,"0","0","0","0","0",0.615626115,1286,1,14187,13579,11752,11377,0.7122,0.1955,0.7809,20.5214558,0.195314489,74190,9.409999847,0.195314489,62188.24,8.430000305,3.25999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Evergreen State College","Washington","WA","Public",2,11346,7949,19295,26459,37805,4219,23,47500,83500,47,0,"The Evergreen State College","3",0,"3",4,1,53,"8","22","0","0","0",1,"0","0","0","0","0",0.99459946,1119,1,19307,6958,10947,8267,0.7354,0.4543,0.4401,26.55699622,0.300900901,22200,11.68000031,0.300900901,63843.36,7.519999981,3.910000086,2321,109,91,227,324,13,2768,314,354,19,1078
"139","Pacific University","Oregon","OR","Private",2,12528,44298,56826,44298,56826,3640,8,50200,94000,66,8,"Pacific University","3",0,"3",4,2,41,"8","21","0","0","0",1,"1","0","0","0","0",0.910414828,1177,1,25315,25392,11503,8507,0.6577,0.2736,0.6738,21.54204661,0.285714286,64458,9.100000381,0.285714286,64591.02,7.300000191,3.930000067,2307,24,507,58,288,56,2086,267,217,137,1200
"140","Washington College","Maryland","MD","Private",2,12414,46978,59392,46978,59392,3696,14,52800,93500,55,21,"Washington College","3",0,"3",3,2,24,"2","32","0","0","0",1,"0","0","0","0","0",0.698582786,1180,1,6599,17474,18876,7861,0.7068,0.2498,0.7323,19.40178571,0.160377359,88294.5,14.06999969,0.160377359,83448.41,4.190000057,2.539999962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Trinity College","Connecticut","CT","Private",2,14750,56910,71660,56910,71660,3696,5,60100,110900,49,22,"Trinity College","3",0,"3",4,2,9,"1","12","0","0","0",1,"0","0","0","0","0",0.377476352,1409,1,9667,31151,26649,10647,0.8203,0.1441,0.8359,20.39878543,0.178494624,99076,16.42000008,0.178494624,81265.21,7.480000019,3.50999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Oregon Health & Science University","Oregon","OR","Public",2,10480,19176,19176,33666,33666,2861,1,65400,108300,79,10,"Oregon Health & Science University","3",0,"3",4,1,41,"8","11","0","0","0",1,"0","0","0","0","0",0.760658545,1180,1,14200.5,29548,88663,11146,0.6072,0.3078,0.6135,30.19167905,0.315541601,19006,10.61999989,0.315541601,60107.13,7.449999809,4.03000021,1861,13,285,35,151,7,2094,113,95,68,604
"143","Towson University","Maryland","MD","Public",2,13034,9940,22974,23208,36242,22285,16,51200,91200,47,15,"Towson University","3",0,"3",4,1,24,"2","13","0","0","0",1,"0","0","0","0","0",0.87921832,1134,1,5743,6893,7495,8158,0.5483,0.31,0.7269,21.47915214,0.289599522,59362,12.93999958,0.289599522,80470.71,4.980000019,2.710000038,13813,33,1049,3456,1196,26,13974,813,1194,544,6573
"144","Loyola University Maryland","Maryland","MD","Private",2,14430,49085,63515,49085,63515,5967,5,59900,111200,40,8,"Loyola University Maryland","3",0,"3",4,2,24,"2","11","0","0","0",1,"0","0","0","0","0",0.842127935,1180,1,21663,22424,10031,8698,1,0.153,0.8083,19.45357687,0.134945398,109587.5,15.78999996,0.134945398,92129.84,4.119999886,2.640000105,3666,12,190,465,470,5,4576,135,62,52,1277
"145","Winona State University","Minnesota","MN","Public",2,9010,9425,18435,15348,24358,8684,16,49700,86800,51,10,"Winona State University","3",0,"3",4,1,27,"4","32","0","0","0",1,"0","0","0","0","0",0.769072165,1120,1,12235,6280,8889,9352,0.614,0.2388,0.6188,21.45595855,0.211745514,74955,7.889999866,0.211745514,68678.3,4.239999771,2.680000067,5431,9,161,199,208,5,7501,176,136,289,758
"146","Mercer University","Georgia","GA","Private",2,11616,36894,48510,36894,48510,8552,11,48500,85100,62,14,"Mercer University","3",0,"3",4,2,13,"5","12","0","0","0",1,"0","0","0","0","0",0.754061936,1338,1,17175,18233,12487,8997,0.9714,0.3152,0.7339,25.52495108,0.281995662,43171.5,8.409999847,0.281995662,67164.94,7.929999828,3.109999895,5302,45,566,2550,330,12,4120,144,444,341,3647
"147","New Hope Christian College","Oregon","OR","Private",2,6300,14880,21180,14880,21180,3696,24,34200,61600,52,0,"New Hope Christian College-Eugene","3",0,"3",3,2,41,"8","12","0","0","0",1,"1","0","0","0","0",0.272727273,1180,1,20056,10624,5274,NA,NA,0.5577,0.4068,26.84745763,0.296914538213626,22167,7.340000153,0.296914538213626,55765.36,8.170000076,4.090000153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Oklahoma Christian University","Oklahoma","OK","Private",2,8190,22760,30950,22760,30950,2475,7,49700,87900,57,41,"Oklahoma Christian University","3",0,"3",4,2,40,"6","11","0","0","0",1,"0","0","0","0","0",0.965310207,1129,1,12849,12523,7413,6809,0.3878,0.2488,0.5811,20.19390582,0.178417266,74627,8.479999542,0.178417266,63431.55,7.46999979,3.109999895,1143,48,203,308,142,1,1619,153,1,0,855
"149","Clarkson University","New York","NY","Private",2,14908,49444,64352,49444,64352,3873,8,66400,130100,58,58,"Clarkson University","3",0,"3",4,2,36,"2","33","0","0","0",1,"0","0","0","0","0",0.745827985,1289,1,22559,17124,14424,11340,0.951,0.2303,0.7561,19.59682081,0.152870992,90321,10.43000031,0.152870992,62331.73,7.159999847,3.589999914,1184,10,122,77,170,1,2992,73,109,319,453
"150","New Orleans Baptist Theological Seminary","Louisiana","LA","Private",2,2625,7775,10400,7775,10400,3696,23,33900,61500,52,0,"New Orleans Baptist Theological Seminary","1",0,"3",4,2,22,"5","11","0","0","0",1,"0","0","0","0","0",0.760658545,1180,1,14200.5,8051,10150,5917,1,0,0.4568,NA,0.296914538213626,55259.6392333709,9.58855367184633,0.296914538213626,64434.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Embry-Riddle Aeronautical University: Daytona Beach Campus","Florida","FL","Private",2,11438,35814,47252,35814,47252,3696,1,63300,111200,58,35,"Embry-Riddle Aeronautical University-Daytona Beach","3",0,"3",4,2,12,"5","13","0","0","0",1,"0","0","0","0","0",0.724281285,1240,1,30766,29601,13891,10236,0.9033,0.183,0.6187,25.38523146,0.355459272,38662,9.149999619,0.355459272,66671.2,7.300000191,3.200000048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","The King's University","Texas","TX","Private",2,10480,15000,15000,15000,15000,3696,2,63800,116500,33,0,"The King's University","3",0,"3",4,2,48,"6","21","0","0","0",1,"0","0","0","0","0",1,1000,1,15117,11635,5300,7684,0.2281,0.3793,0.431,29.52521008,0.4,35185,9.010000229,0.4,68510.99,8,3.799999952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Florida Institute of Technology","Florida","FL","Private",2,12880,41850,54730,41850,54730,6393,3,58300,105400,53,48,"Florida Institute of Technology","3",0,"3",4,2,12,"5","13","0","0","0",1,"0","0","0","0","0",0.663425025,1253,1,26795,22918,12182,9904,0.9799,0.2098,0.6305,28.41205534,0.401340283,30032,9.75,0.401340283,68086.59,6.179999828,2.880000114,2110,28,174,533,359,17,2406,97,535,2244,1208
"154","Louisiana State University in Shreveport","Louisiana","LA","Public",2,10480,7235,7235,20389,20389,3696,17,44500,79800,54,10,"Louisiana State University-Shreveport","3",0,"3",4,1,22,"5","12","0","0","0",1,"0","0","0","0","0",0.907344633,1134,1,7360,8038,6468,8496,0.6873,0.369,0.3735,24.62693878,0.402714932,25731,6.769999981,0.402714932,47946.96,14.35999966,4.639999866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","University of Arkansas at Little Rock","Arkansas","AR","Public",2,8930,8966,17896,21206,30136,11645,7,45600,80800,55,13,"University of Arkansas at Little Rock","3",0,"3",4,1,5,"5","12","0","0","0",1,"0","0","0","0","0",0.576862124,1119,1,14459,5489,8464,7772,1,0.4255,0.4071,25.51552309,0.391040462,27239,7.630000114,0.391040462,51732.17,10.96000004,3.630000114,6932,44,260,2625,713,0,6599,823,101,480,4465
"156","Cornish College of the Arts","Washington","WA","Private",2,12400,41642,54042,41642,54042,767,21,49000,86400,39,0,"Cornish College of the Arts","3",0,"3",3,2,53,"8","11","0","0","0",1,"0","0","0","0","0",0.638138138,1180,1,30970,31116,18024,6545,0.3654,0.3216,0.5148,20.99186992,0.225714286,58476,12.42000008,0.225714286,69763.39,6.260000229,3.430000067,491,6,43,29,76,2,484,63,42,22,219
"157","University of Illinois at Urbana-Champaign","Illinois","IL","Public",2,11308,15094,26402,31664,42972,45140,3,62600,115300,44,36,"University of Illinois Urbana-Champaign","3",0,"3",4,1,17,"3","13","0","0","0",1,"0","0","0","0","0",0.596621352,1422,1,6937,14361,17161,13006,0.7509,0.2526,0.8551,19.85283105,0.2493021,62485,11.93000031,0.2493021,77278.04,5.599999905,3.140000105,20271,39,6121,2186,3384,47,21777,1049,576,9961,12826
"158","California Polytechnic State University: San Luis Obispo","California","CA","Public",2,13796,9816,23612,21696,35492,3696,12,65600,119500,51,38,"California Polytechnic State University-San Luis Obispo","3",0,"3",4,1,6,"8","23","0","0","0",1,"1","0","0","0","0",0.329998167,1180,1,12307,10447,9301,10582,0.6798,0.1628,0.8427,20.14106655,0.248062016,74513,10.98999977,0.248062016,74683.78,7.159999847,3.680000067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Berry College","Georgia","GA","Private",2,12770,36556,49326,36556,49326,2177,12,44900,84900,44,21,"Berry College","3",0,"3",4,2,13,"5","23","0","0","0",1,"0","0","0","0","0",0.698990284,1267,1,16157,13225,14532,8767,0.7793,0.2258,0.714,19.65384615,0.168741356,82687.5,8.600000381,0.168741356,70464.52,6.550000191,2.710000038,1335,2,26,93,134,3,1806,62,32,19,320
"160","Montana Tech of the University of Montana","Montana","MT","Public",2,9656,7411,17067,22574,32230,2085,1,61200,112600,64,61,"Montana Technological University","3",0,"3",4,1,30,"7","33","0","0","0",1,"0","0","0","0","0",0.898368883,1172,1,11566,6516,9012,8151,0.7073,0.2586,0.5742,24.21130221,0.337301587,38398,6.670000076,0.337301587,44236.75,10.44999981,4.119999886,677,35,20,23,34,0,1617,1,133,222,113
"161","Colby-Sawyer College","New Hampshire","NH","Private",2,14264,42398,56662,42398,56662,1369,9,46400,83700,43,7,"Colby-Sawyer College","3",0,"3",3,2,33,"1","42","0","0","0",1,"0","0","0","0","0",0.93069843,1180,1,17683,11744,10075,6948,1,0.2597,0.6467,20.06140351,0.24137931,80005.5,12.81000042,0.24137931,75754.73,4.400000095,2.609999895,949,3,21,88,41,1,860,7,209,139,161
"162","University of California: Davis","California","CA","Public",2,16211,14463,30674,43458,59669,3696,19,61500,112600,52,35,"University of California-Davis","3",0,"3",4,1,6,"8","23","0","0","0",1,"1","0","0","0","0",0.487545914,1180,1,10219,18166,25671,15968,0.8616,0.3429,0.866,21.20280172,0.408311428,33783.5,11.42000008,0.408311428,76621.08,8.539999962,3.849999905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","St. John's University","Minnesota","MN","Private",2,10319,44990,55309,44990,55309,3696,2,59400,108400,45,25,"Saint Johns University","3",0,"3",4,2,27,"4","41","0","0","0",1,"0","0","0","1","0",0.886511025,1213,1,16068,17734,12684,8648,0.8228,0.1969,0.7658,19.62154294,0.175273865,98568,8.619999886,0.175273865,71469.52,4.320000172,2.549999952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Andrews University","Michigan","MI","Private",2,9078,29288,38366,29288,38366,3418,21,47600,85000,51,7,"Andrews University","3",0,"3",4,2,26,"3","31","0","0","0",1,"1","0","0","0","0",0.815148783,1180,1,10844,15426,11594,5057,0.6193,0.2261,0.6622,21.49323017,0.172131148,55290,10.19999981,0.172131148,63096.48,7.929999828,3.380000114,1583,10,315,702,458,13,1043,71,79,727,1569
"165","North Dakota State University","North Dakota","ND","Public",2,8565,9294,17859,13273,21838,14747,1,54200,98600,56,27,"North Dakota State University-Main Campus","3",0,"3",4,1,38,"4","12","0","0","0",1,"0","0","0","0","0",0.954562201,1151,1,12762,10452,10490,9434,0.9762,0.1883,0.6362,20.68896034,0.172780797,80195,5.929999828,0.172780797,55831.54,6.590000153,2.859999895,6786,109,220,361,245,12,11878,260,603,1059,1207
"166","University of Kentucky","Kentucky","KY","Public",2,12982,12245,25227,29099,42081,29203,1,51700,96400,48,19,"University of Kentucky","3",0,"3",4,1,21,"5","11","0","0","0",1,"0","0","0","0","0",0.940124453,1232,1,12539,12811,11957,10967,0.8381,0.2124,0.6726,20.59947299,0.233600886,61931.5,9.850000381,0.233600886,59287.73,9.06000042,2.99000001,15420,55,807,1989,1031,26,21777,770,997,1751,4678
"167","Belhaven University","Mississippi","MS","Private",2,8500,25300,33800,25300,33800,4114,7,41200,74300,60,2,"Belhaven University","3",0,"3",4,2,28,"5","12","0","1","0",1,"0","0","0","0","0",0.640179071,1106,1,20041,9298,2942,5522,0.1408,0.5195,0.4991,30.5905421,0.395118734,26444,8.470000267,0.395118734,57705.44,11.52000046,3.779999971,2815,23,20,2253,144,7,1155,61,366,85,2508
"168","Roanoke College","Virginia","VA","Private",2,13690,44030,57720,44030,57720,2050,20,48500,85100,53,18,"Roanoke College","3",0,"3",3,2,51,"5","22","0","0","0",1,"0","0","0","0","0",0.8037553,1166,1,19614,15762,9592,7734,0.8421,0.2495,0.6969,19.86682809,0.206590621,82237.5,12.18999958,0.206590621,74630.57,4.739999771,2.25999999,1223,7,30,110,76,2,1681,85,0,59,310
"169","Sierra Nevada College","Nevada","NV","Private",2,13357,34241,47598,34241,47598,1039,1,54000,95500,39,2,"Sierra Nevada University","3",0,"3",4,2,32,"8","32","0","0","0",1,"0","0","0","0","0",0.666666667,1050,1,30173,12461,9482,4818,0.1864,0.3102,0.3951,21.94444444,0.280612245,40760.5,11.03999996,0.280612245,71252.07,6.480000019,3.380000114,599,31,19,41,33,10,720,3,158,24,137
"170","Marietta College","Ohio","OH","Private",2,11320,36040,47360,36040,47360,1500,15,51200,94300,57,45,"Marietta College","3",0,"3",4,2,39,"3","31","0","0","0",1,"0","0","0","0","0",0.830909091,1082,1,15361,11766,15563,7412,1,0.2705,0.5187,19.97241379,0.259615385,69660,7.570000172,0.259615385,58715.65,7.480000019,3.339999914,643,2,20,69,38,0,1097,32,84,158,161
"171","Mayville State University","North Dakota","ND","Public",2,7840,6666,14506,9399,17239,1081,4,43700,81300,44,10,"Mayville State University","3",0,"3",4,1,38,"4","43","0","0","0",1,"0","0","0","0","0",0.60989011,1050,1,10072,6660,8504,6135,1,0.2472,0.3125,24.63148148,0.301619433,47272,5.449999809,0.301619433,51474.96,8.640000343,3.369999886,610,19,2,70,51,5,867,32,6,29,179
"172","MCPHS University","Massachusetts","MA","Private",2,16400,32705,49105,32705,49105,6935,6,65900,121800,71,2,"MCPHS University","3",0,"3",4,2,25,"1","11","0","0","0",1,"0","0","0","0","0",0.977094511,1245,1,34276,20167,9842,10833,0.334,0.2537,0.6887,21.84986737,0.304878049,50594,12,0.304878049,72630.13,6.940000057,3.039999962,4656,7,1469,330,184,8,2494,24,1599,820,2022
"173","West Liberty University","West Virginia","WV","Public",2,9406,7730,17136,15670,25076,2694,10,42500,77000,51,6,"West Liberty University","3",0,"3",4,1,54,"5","41","0","0","0",1,"0","0","0","0","0",0.738480697,1069,1,13029,6894,5607,6562,0.5798,0.3265,0.48,21.16467066,0.356297094,45145,5.929999828,0.356297094,46862,10.56000042,3.829999924,1622,7,19,120,21,1,2371,31,82,42,199
"174","Creighton University","Nebraska","NE","Private",2,11036,39916,50952,39916,50952,8236,2,53500,95800,56,9,"Creighton University","3",0,"3",4,2,31,"4","11","0","0","0",1,"0","0","0","0","0",0.777464097,1300,1,23981,30015,15788,10009,0.6528,0.0742,0.8018,20.86,0.183839881,94392,9.850000381,0.183839881,68443.5,5.650000095,2.539999962,4715,36,742,330,472,25,5961,259,215,196,1864
"175","Lehigh University","Pennsylvania","PA","Private",2,13600,52930,66530,52930,66530,7119,2,69500,134100,45,52,"Lehigh University","3",0,"3",4,2,42,"2","13","0","0","0",1,"0","0","0","0","0",0.459700858,1422,1,16041,29816,22329,14034,0.8384,0.1807,0.877,20.05882353,0.168765743,90738,15.06999969,0.168765743,88627.42,4.039999962,2.619999886,3179,7,479,239,475,1,4309,139,363,1107,1340
"176","East Tennessee State University","Tennessee","TN","Public",2,8472,9277,17749,28459,36931,14434,22,43700,77300,57,8,"East Tennessee State University","3",0,"3",4,1,47,"5","13","0","0","0",1,"0","0","0","0","0",0.87399276,1135,1,11001,9314,13763,7815,0.6289,0.3846,0.501,22.23807505,0.376894809,33885,6.659999847,0.376894809,47640.99,10.48999977,3.160000086,8369,38,232,860,290,9,11967,341,209,488,1770
"177","Philander Smith College","Arkansas","AR","Private",2,8250,12414,20664,12414,20664,567,19,34600,61200,52,26,"Philander Smith College","3",0,"3",3,2,5,"5","12","1","0","0",1,"0","0","0","0","0",0.760658545,1180,1,14449,5613,5287,5891,1,0.7547,0.3036,21.86079183,0.430340557,18743,6.199999809,0.430340557,45434.78,16.47999954,5.079999924,363,1,3,512,2,1,3,11,0,34,530
"178","Lewis-Clark State College","Idaho","ID","Public",2,7580,6618,14198,19236,26816,4304,7,44900,77600,60,5,"Lewis-Clark State College","3",0,"3",3,1,16,"7","13","0","0","0",1,"0","0","0","0","0",1,1180,1,11117,5012,8367,6789,0.9706,0.272,0.3652,25.07130535,0.404701398,31207,6.480000019,0.404701398,49266.88,9.140000343,4.099999905,2610,99,39,33,215,13,3576,102,115,112,501
"179","University of Wisconsin-Stout","Wisconsin","WI","Public",2,6924,9457,16381,17423,24347,9394,11,50400,89500,47,14,"University of Wisconsin-Stout","3",0,"3",4,1,55,"3","32","0","0","0",1,"0","0","0","0","0",0.91390593,1150,1,10960,6390,7577,7604,0.6738,0.2413,0.58,21.88577212,0.27839851,70070,7.130000114,0.27839851,65020.23,4.519999981,2.970000029,4626,28,307,156,220,14,8089,155,74,351,880
"180","Southwestern Oklahoma State University","Oklahoma","OK","Public",2,5830,7035,12865,13935,19765,4994,6,47900,90800,58,5,"Southwestern Oklahoma State University","3",0,"3",4,1,40,"6","33","0","0","0",1,"0","0","0","0","0",0.941233141,1050,1,8319,6298,8966,7330,1,0.3642,0.3951,22.87043189,0.406282723,41302,6.760000229,0.406282723,44610.73,11.64000034,3.019999981,2929,210,145,261,350,6,3383,363,101,175,1335
