"","name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total","total_enrollment","rank","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","matched","degree_type","cash_monitoring","pred_degree_type","highest_degree","type_school","ST_FIPS","region","locale","hbcu","pbi","annhi","tribal","AANAPII","his","nanti","men_only","women_only","admission_rate","sat_avg","distance_only","netprice_lowincome","tuit_fte","inexp_fte","avg_fac_salary","pct_ft_fac","pct_pell","C150_POOLED","age_entry","first_gen","med_fam_inc","pct_grad_degree","pct_domestic","median_hh_income","poverty_rate","unemployment_rate","Women","American Indian / Alaska Native","Asian","Black","Hispanic","Native Hawaiian / Pacific Islander","White","Two Or More Races","Unknown","Non-Resident Foreign","Total Minority"
"382","University of San Francisco","California","CA","Private",2,14830,48066,62896,48066,62896,10689,23,60600,109900,52,6,"University of San Francisco","3",0,"3",4,2,6,"8","11","0","0","0",1,"1","0","0","0","0",0.709234758,1305,1,30434,29262,16235,13123,0.4132,0.2871,0.7338,20.96825397,0.280120482,57928,12.97000027,0.280120482,82472.56,6.559999943,3.220000029,6724,26,1881,464,1919,69,3492,635,487,1716,4994
"383","St. Francis Medical Center College of Nursing","Illinois","IL","Private",2,3700,20460,24160,20460,24160,3696,22,52800,90800,52,0,"Saint Francis Medical Center College of Nursing","3",0,"3",4,2,17,"3","12","0","0","0",1,"0","0","0","0","0",0.760658545,1180,1,14200.5,16533,15865,7355,0.7872,0.2852,0.6135,25.9027027,0.368421053,36400,6.900000095,0.368421053,61006.71,5.800000191,2.980000019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384","Randolph College","Virginia","VA","Private",2,13580,39585,53165,39585,53165,693,19,47000,86100,50,23,"Randolph College","3",0,"3",4,2,51,"5","13","0","0","0",1,"0","0","0","0","0",0.937984496,1071,1,19220,14797,17660,8190,1,0.3858,0.56,20.1779661,0.262686567,61543,11.01000023,0.262686567,68832.25,6.860000134,2.970000029,442,4,20,74,31,0,471,24,0,69,153
"385","Cumberland University","Tennessee","TN","Private",2,9290,22890,32180,22890,32180,1481,16,45500,81000,61,3,"Cumberland University","3",0,"3",4,2,47,"5","31","0","0","0",1,"0","0","0","0","0",0.577637444,1180,1,23830,7552,3516,5656,0.4387,0.3196,0.5264,23.58703939,0.408219178,41840,5.909999847,0.408219178,59163.95,7.730000019,3.079999924,850,5,14,181,37,0,947,0,246,51,237
"386","Virginia Polytechnic Institute and State University","Virginia","VA","Public",2,8934,13620,22554,31304,40238,3696,4,62700,114000,48,42,"Virginia Polytechnic Institute and State University","3",0,"3",4,1,51,"5","13","0","0","0",1,"1","0","0","0","0",0.564654967,1320,1,12570,15314,12801,12182,0.9838,0.1479,0.8637,19.82272798,0.177634755,89378,13.18999958,0.177634755,77607.85,5.309999943,2.440000057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387","Shenandoah University","Virginia","VA","Private",2,10370,32530,42900,32530,42900,3693,18,48700,86600,57,7,"Shenandoah University","3",0,"3",4,2,51,"5","13","0","0","0",1,"0","0","0","0","0",0.743501529,1180,1,22963,18502,9516,8242,0.5828,0.2109,0.6235,21.78390597,0.277131783,74547,10.92000008,0.277131783,74666.57,5.320000172,2.440000057,2365,53,269,411,182,12,2409,0,178,179,927
"388","Willamette University","Oregon","OR","Private",2,12440,50074,62514,50074,62514,2780,6,52200,97700,49,14,"Willamette University","3",0,"3",4,2,41,"8","12","0","0","0",1,"0","0","0","0","0",0.796195652,1180,1,24585,23880,16095,10969,0.7087,0.265,0.7288,19.50229709,0.192,73572,11.39999962,0.192,68135.42,6.840000153,3.670000076,1496,33,189,53,270,9,1626,198,125,277,752
"389","McNeese State University","Louisiana","LA","Public",2,8704,7859,16563,18934,27638,8237,11,50200,88200,57,13,"McNeese State University","3",0,"3",4,1,22,"5","13","0","0","0",1,"0","0","0","0","0",0.687572143,1116,1,7650,6113,4669,7156,1,0.311,0.4281,21.73144105,0.384801549,35341.5,4.960000038,0.384801549,47295.56,14.47999954,4.150000095,5120,53,121,1421,211,6,5886,172,6,361,1984
"390","Saint Joseph's College of Maine","Maine","ME","Private",2,13680,35650,49330,35650,49330,2933,7,46900,84300,60,2,"Saint Joseph's College of Maine","3",0,"3",4,2,23,"1","41","0","0","0",1,"0","0","0","0","0",0.805760709,1125,1,26133,13746,7497,6127,0.9841,0.2137,0.6369,22.7593361,0.305309735,71346,9.020000458,0.305309735,63952.22,6.070000172,2.769999981,2082,13,39,96,63,1,1843,0,878,0,212
"391","Bethel University","Minnesota","MN","Private",2,10520,37300,47820,37300,47820,3696,21,51000,85700,65,9,"Bethel University","3",0,"3",4,2,27,"4","21","0","0","0",1,"0","0","0","0","0",0.886829268,1188,1,19973,16302,8662,7647,0.4023,0.213,0.742,23.83925687,0.185825411,77425.5,9.159999847,0.185825411,77038.37,3.880000114,2.460000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"392","Allen College","Iowa","IA","Private",2,7282,19970,27252,19970,27252,575,5,51600,91300,52,0,"Allen College","3",0,"3",4,2,19,"4","13","0","0","0",1,"0","0","0","0","0",1,1180,1,14200.5,22007,10515,7528,0.4699,0.1497,0.6135,24.61923077,0.296914538213626,56247,6.369999886,0.296914538213626,55286.77,5.690000057,2.710000038,524,0,7,13,2,2,518,5,24,4,29
"393","Christian Brothers University","Tennessee","TN","Private",2,7400,32820,40220,32820,40220,1667,4,51500,96500,60,14,"Christian Brothers University","3",0,"3",4,2,47,"5","11","0","0","0",1,"0","0","0","0","0",0.965724079,1108,1,12410,12318,8360,7552,0.9918,0.3256,0.5786,23.94409938,0.358792185,40225,8.020000458,0.358792185,61225.91,10.65999985,3.819999933,936,5,84,522,99,1,795,39,73,49,750
"394","University of Tulsa","Oklahoma","OK","Private",2,11116,41509,52625,41509,52625,4682,1,58700,107200,51,36,"University of Tulsa","3",0,"3",4,2,40,"6","11","0","0","0",1,"0","0","0","0","0",0.752433703,1231,1,22837,18001,15297,11072,0.7741,0.2076,0.7296,20.91634492,0.228494624,56709,9.489999771,0.228494624,62928.78,7.329999924,2.910000086,1990,240,128,183,189,4,2506,68,139,1225,812
