"","name","state","state_code.x","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total","total_enrollment","rank","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","matched","degree_type","cash_monitoring","pred_degree_type","highest_degree","type_school","ST_FIPS","REGION","LOCALE","hbcu","pbi","annhi","tribal","AANAPII","his","nanti","men_only","women_only","admission_rate","sat_avg","distance_only","netprice_lowincome","tuit_fte","inexp_fte","avg_fac_salary","pct_ft_fac","pct_pell","C150_POOLED","age_entry","first_gen","med_fam_inc","pct_grad_degree","pct_domestic","median_hh_income","poverty_rate","unemployment_rate","Women","American Indian / Alaska Native","Asian","Black","Hispanic","Native Hawaiian / Pacific Islander","White","Two Or More Races","Unknown","Non-Resident Foreign","Total Minority"
"38","Barry University","Florida","FL","Private","4 Year",11100,29850,40950,29850,40950,8518,24,47400,84400,66,12,"Barry University","3",0,3,4,2,12,"5","21","0","0","0","0","0","1","0","0","0",0.636935499,NA,"0","15688","17137","10318","8858","0.5009","0.5138","0.3832",26.62546817,0.43556701,28822,8.729999542,0.43556701,"58621.88","11.28999996","4.21999979",5589,28,182,2090,2032,12,1983,87,1534,570,4431
"39","Barton College","North Carolina","NC","Private","4 Year",10120,30880,41000,30880,41000,1035,24,42400,77900,62,6,"Barton College","3",0,3,4,2,37,"5","31","0","0","0","0","0","0","0","0","0",0.985995851,1054,"0","18741","12967","7453","6036","0.9545","0.3955","0.5186",23.25950413,0.35009311,38256,6.099999905,0.35009311,"54814.93","10.57999992","3.650000095",716,9,12,245,55,0,604,28,52,30,349
"40","Bastyr University","Washington","WA","Private","4 Year",7590,26166,33756,26166,33756,1202,22,48400,86300,NA,0,"Bastyr University","3",0,3,4,2,53,"8","21","0","0","0","0","0","0","0","0","0",NA,NA,"0",NA,"28637","21684","6936","0.4462","0.3119",NA,30.36538462,NA,18650.5,13.64000034,NA,"70371.36","5.940000057","3.359999895",989,6,121,43,42,0,775,73,67,75,285
"41","Bates College","Maine","ME","Private","4 Year",15224,53794,69018,53794,69018,1773,3,59500,111900,50,23,"Bates College","3",0,3,3,2,23,"1","13","0","0","0","0","0","0","0","0","0",0.173111081,NA,"0","5031","50431","20905","11113","0.9107","0.0938","0.9205",19.42140468,0.150877193,86734,16.36000061,0.150877193,"77753.31","5.800000191","3.059999943",894,4,82,85,120,0,1274,72,14,122,363
"42","Baylor University","Texas","TX","Private","4 Year",12595,45727,58322,45727,58322,16263,12,55500,101400,49,16,"Baylor University","3",0,3,4,2,48,"6","12","0","0","0","0","0","0","0","0","0",0.566879851,1288,"0","28238","26524","17162","10673","0.651","0.1647","0.8044",20.0373643,0.17109067,80000,10.05000019,0.17109067,"73627.32","7.460000038","3.119999886",9152,62,939,1129,2146,9,10445,699,150,684,4984
"43","Belhaven University","Mississippi","MS","Private","4 Year",8500,25300,33800,25300,33800,4114,7,41200,74300,60,2,"Belhaven University","3",0,3,4,2,28,"5","12","0","1","0","0","0","0","0","0","0",0.640179071,1106,"0","20041","9298","2942","5522","0.1408","0.5195","0.4991",30.5905421,0.395118734,26444,8.470000267,0.395118734,"57705.44","11.52000046","3.779999971",2815,23,20,2253,144,7,1155,61,366,85,2508
"44","Bellarmine University","Kentucky","KY","Private","4 Year",12250,42200,54450,42200,54450,3609,3,49000,90700,54,11,"Bellarmine University","3",0,3,4,2,21,"5","11","0","0","0","0","0","0","0","0","0",0.855014191,1191,"0","20269","17342","9816","7890","0.4522","0.2358","0.6477",20.67274234,0.272648084,68249,10.02999973,0.272648084,"65601.28","6.369999886","2.670000076",2430,9,65,196,101,5,2964,97,124,48,473
"45","Bellevue College","Washington","WA","Public","2 Year",NA,4258,4258,9689,9689,13469,18,50100,88500,56,14,"Bellevue College","2",0,2,3,1,53,"8","12","0","0","0","0","1","0","0","0","0",NA,NA,"0","7054","4160","6543","9447","0.357","0.0811","0.3387",25.99565046,0.411214953,23941,12.5,0.411214953,"78517.58","5.599999905","3.140000105",7359,73,2267,657,1458,79,6394,551,1216,774,5085
"46","Bellevue University","Nebraska","NE","Private","4 Year",8730,9390,18120,9390,18120,9879,10,49400,84800,57,23,"Bellevue University","3",0,3,4,2,31,"4","21","0","0","0","0","0","0","0","0","0",NA,NA,"0","15397","12099","2807","6067","0.129","0.1873","0.227",31.50660939,0.449388209,33599,8.270000458,0.449388209,"63424.91","6.369999886","2.690000057",5254,49,214,1168,676,30,5640,211,1601,290,2348
"47","Bellin College","Wisconsin","WI","Private","4 Year",NA,22178,22178,22178,22178,351,6,55800,97600,94,0,"Bellin College","3",0,3,4,2,55,"3","41","0","0","0","0","0","0","0","0","0",0.852941176,1105,"0","20561","15976","9815","7793","0.8205","0.1656","0.6154",25.15420561,0.310344828,83875.5,5.199999809,0.310344828,"63205.5","4.440000057","2.839999914",325,3,3,1,5,1,334,1,3,0,14
